1,Электрозаводская,"ст. м.Электрозаводская, ул.Б.Семёновская, д. 38.
","https://www.google.com/maps/place/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9+%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9+%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82/@55.7813995,37.7084531,18z/data=!4m5!3m4!1s0x46b54ad610abc8a5:0xc42703145fe53a8d!8m2!3d55.7814464!4d37.7112895"
2,Автозаводская,"ст. м.Автозаводская/МЦК - ЗИЛ, ул. Автозаводская, д. 16","https://www.google.com/maps/place/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9+%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9+%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82/@55.7039915,37.6392279,16.5z/data=!4m12!1m6!3m5!1s0x46b54ad610abc8a5:0xc42703145fe53a8d!2z0JzQvtGB0LrQvtCy0YHQutC40Lkg0L_QvtC70LjRgtC10YXQvdC40YfQtdGB0LrQuNC5INGD0L3QuNCy0LXRgNGB0LjRgtC10YI!8m2!3d55.7814464!4d37.7112895!3m4!1s0x46b54b4a6a033031:0x8d056828b66d1fc0!8m2!3d55.7041219!4d37.6456954"
3,ВДНХ,"ст. м.ВДНХ, ул. Павла Корчагина, д. 22.","https://www.google.com/maps/place/%D0%9C%D0%BE%D1%81%D0%BA%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9+%D0%BF%D0%BE%D0%BB%D0%B8%D1%82%D0%B5%D1%85%D0%BD%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9+%D1%83%D0%BD%D0%B8%D0%B2%D0%B5%D1%80%D1%81%D0%B8%D1%82%D0%B5%D1%82/@55.8169141,37.6449651,15z/data=!4m12!1m6!3m5!1s0x46b54ad610abc8a5:0xc42703145fe53a8d!2z0JzQvtGB0LrQvtCy0YHQutC40Lkg0L_QvtC70LjRgtC10YXQvdC40YfQtdGB0LrQuNC5INGD0L3QuNCy0LXRgNGB0LjRgtC10YI!8m2!3d55.7814464!4d37.7112895!3m4!1s0x0:0xe9663182d783f679!8m2!3d55.8196675!4d37.6636004"
